appid	name	detailed_description
800930	Twin Blue Moons	Twin Blue Moons is a visual novel telling the story of Maya, a young mage with a wild imagination and an unparalleled ability to get in trouble. Dreams become mingled with magic, memories, and multidimensional dangers in this extraordinary adventure! Story At the beginning of the summer, Maya is brought to a remote forest area at her elder sister Nami's whim. Although discontented with the development at first, Maya's natural curiosity soon drives her to explore the new surroundings. Before long she has made a handful of new friends, among which are the forgetful girl at the lakeside, Lilia, and the eccentric alchemist, Kinoko. Strange things start happening at nighttime, yet Maya's dreams feel more realistic than ever. Who are those tattooed girls that keep appearing before her time after time? Nami seems to know something, but it is as challenging as ever to learn the truth from her. Features 46000+ word story with multiple branching plotlines! 30+ player choices and 10 different endings! Unlockable CG Gallery and List of Endings! Background lore library and Scrollable map (in-game smartphone)! All characters are female! Steam Achievements! 'Have you had any strange dreams recently?' 
987840	Expeditions: Rome	The future of Rome is in your hands: what will your legacy be? Take on the role of a young Legatus whose father was murdered by an unknown political opponent, forcing you to escape Rome and take refuge in the military campaign to subdue a Greek rebellion. Step by step, you increase your military prowess, strengthen yourself in the forge of combat, and become the Legatus everyone learns to both respect, and to fear. In Expeditions: Rome, you exert the will of Rome through your actions across the world stage, from the bright blue coasts of Greece to the deep forests of Gaul. Decide how people will view you, and Rome. Will you strike with an iron fist, or speak with a silver tongue? Will you embrace the political heritage of the Republic, or carve your own path as you navigate the complex politics of the Roman Senate? Every choice matters as you decide the fate of your legion, your close companions, and of Rome itself. Create your own Roman Legatus! Customize your character’s look, gender, class, and skills to match your playstyle and role-playing fantasy Engage in tactical turn-based combat powered by an extensive skill-based action system where every weapon changes your potency on the battlefield Adventure with 5 unique companions discovering their extensive backstories and unique personalities Explore a beautifully realized, colorful world across many different environments, including North Africa, Greece, Gaul, and Rome herself Experience a historically inspired story of political intrigue and personal drama through a fully voiced narrative where choices matter and consequences are far-reaching Level-up each character and select from a variety of skills and passive abilities to explore a wide range of tactical options Loot, Craft, and Equip a variety of weapons, armors, and tactical items to customize your game even further, providing a tremendous range of tactical options for each character Lead your legion on 3 extensive war campaigns across Greece, North Africa, and Gaul. Recruit legionaries, improve your warcamp, conquer regions, exploit resources, and defend your territories as you lead your legion to victory 
1761030	Jackpot Bennaction - B05 : Discover The Mystery Combination	Discover the value of cards (without repetition), turned face down on the table after the draw, within 6 attempts maximum per match, with the help of the value of cards played to previous attempts and these clues... ∧ the sign higher than indicates that he value of the card must be increased compared to previous attempt ∨ the sign lower than indicates that the value of the card must be decreased compared to previous attempt and win at the end of the match... ⇒ a prize for the attempt with the BEST DISCOVERY, in addition to, ⇒ a prize for the COMPLETE DISCOVERY, in addition to, ⇒ a progressive Jackpot for the COMPLETE DISCOVERY to SUCCESSIVE matches. Casino games do not offer 100% chance of winning, however it is possible to frequently get a prize, with Bennaction it is also possible to get the jackpot following a winning streak.
1161880	Vaporum: Lockdown	About Vaporum: Lockdown is a prequel to the award-winning steampunk dungeon crawler Vaporum. It is a grid-based, single-player, single-character game, seen from a first-person perspective in an original steampunk setting, and inspired by old-school games like Dungeon Master I and II, the Eye of the Beholder series, and the more recent Legend of Grimrock I and II. Vaporum: Lockdown follows the story of Ellie Teller, a scientist who is a part of a mysterious research project in the middle of an ocean. Following disastrous events, she struggles to survive and escape the tower of Arx Vaporum. Key Features First person real-time combat Unique Stop Time Mode Puzzles and level-wide objectives Gadget-based RPG system Lots of exploration, loot, and character customization Mysterious storyline filled with secrets Fully voiced main characters Immersive steampunk setting You will encounter nasty enemies with unique strengths and attack patterns. To beat them, you will have to employ a broad array of weapons, gadgets, upgrades, and smart tactics. Fortunately, there's plenty of powerful toys to play with. Many different weapon types, each with a specific use, synergistic armor pieces, gadgets that allow you to raise your own army of underlings or to manipulate the battlefield, boosters, and more. Prepare to solve many kinds of puzzles and hazards, using various interactive elements, which will test both your wits and reflexes. The overall storyline will have you piecing together a solution to the main obstacle, where the individual pieces are spread over several levels. You will learn a lot about the world and its inhabitants through voiced dialogs, phonodiaries, and written notes.
1279480	Thomas Scott	A CINEMATIC SPACE SHOOTER - WISHLIST NOW! About the Game The game takes place in the world of 'SweetLand'. The hero of the game needs to find answers and solve many puzzles. Traveling through a fascinating world and collecting stars for the opportunity to go to the next level! Features Rotation of the entire level Riddles, secrets and adventures Original bright world of the game Various puzzles with switches and levers Doors, keys, and physics 
363860	MythForce	Inspired by beloved Saturday morning cartoons, MythForce unites swords &amp; sorcery with gripping 1st-person combat in a new roguelike adventure. Brave the dungeon alone or join forces with friends to take on an ever-changing Castle of Evil! Become a cartoon hero in a Saturday morning cartoon fantasy world. Scratch that nostalgic itch with wholesome fun that's easy to pick up and play (but tough to master). In true roguelike fashion, each time you’re defeated, you’ll have to start over at the beginning — but every playthrough makes you a little stronger. Level up as you explore the dungeon, uncovering magical artifacts and upgrades to make you say “I HAVE THE POWER!” Wield legendary weapons and powerful magic to smite hordes of enemies in an immersive fantasy dungeon-crawl through a colorful cartoon castle. Fresh adventures await with each new attempt to storm the keep! Explore a replayable dungeon with treasure, traps, and terrors lurking around every corner. Brave the dungeon alone or join forces in co-op mode for up to 4 players. Choose your team wisely — each hero brings unique skills to the fight! Meet the Heroes of MythForce : Victoria the valiant Knight joins forces with Rico the charming Rogue, Maggie the wise Mage, and Hawkins the deadly Hunter. Together, they form the legendary team known as… MythForce! These courageous champions are all that stand between Eldryth and the tyranny of the vampire lord, Deadalus. Will our heroes prevail against the many malevolent minions, tricks, and traps in his ever-changing dungeon?
932290	Mochi Mochi Boy	Solve puzzles and collect slimes! ​Mochi Mochi boy is a puzzle game where you fill all the tiles in a stage to progress. Stretch , twist and warp your way through ​a series of puzzling stages while collecting a cast of cute slimes along the way. ​Mochi Mochi boy has 6 different modes: Classic : Play through a set of stages with no special features added. Dungeon : If your timer drops too low ,monsters become dangerous to touch! Traps : Avoid spike traps whilst trying to avoid setting off bombs! Random : All stages are randomly generated Sprint ( A and B ) : Work your way through a gauntlet of all 150 stages! 100 slimes to collect ​Whether it's through treasure chests , or post stage rewards, you'll be rewarded with a vivid cast of slimes . If you're not feeling like solving puzzles, you can visit them in all their gooey glory in the gallery. 
2569430	Sex Goddess Punishment	This is horizontal-scrolling shoot 'em up. The player may unlocked 4 more characters and may choose from five playable. Holding down the standard shot button can provide a more powerful shot. CG animations can be unlocked when the mission is completed or the girl's favorability is full.
2874660	Exit: Left or Right	You've entered liminal space. It's a strange, empty world outside of our reality. Sometimes, some people end up here, and you are one of them. Now, you need to find a way out. There will always be two different paths in front of you, left or right. One of the paths will lead you to the exit, and the other will lead you to death. You have to scrutinize your surroundings to choose the right path. Gameplay Exit Left or Right is a short walking simulator inspired by liminal spaces. There is no fast-paced action or pathos story in this game. All you need is just to choose the right way to go. You need to scrutinize your surroundings, because you can always notice something strange in front of the wrong door... Keep an eye on your surroundings, don't overlook any oddities. If you find anomalies, turn back immediately. If you don't find any anomalies, go forward. Your goal is to get to the exit. 
3159120	Hidden Realm of the Enchantress	Explore the dungeon filled with lusty monster girls! Hidden Realm of the Enchantress is a turn-based strategic dungeon crawler RPG with deckbuilding elements where you battle and conquer a variety of fierce and alluring monster girls! Uncover the mysteries lurking within the dungeons and discover the cause of the strange incidents! Features Over 20 animated monster girl enemies, each with their own abilities and characteristics to challenge your tactics Challenging bosses who will push your skills to the limit Fully animated sex scenes for these monster girls! (And several additional scenes) Turn-based combat that tests your strategic skills Randomized for replayability Various actions/consumables that expand your strategies Gallery mode to enjoy all the animations you've unlocked Prove your skill and conquer the Hidden Realm of the Enchantress! 
