appid	name	detailed_description
800930	twin blue moons	twin blue moons is a visual novel telling the story of maya, a young mage with a wild imagination and an unparalleled ability to get in trouble. dreams become mingled with magic, memories, and multidimensional dangers in this extraordinary adventure! story at the beginning of the summer, maya is brought to a remote forest area at her elder sister nami's whim. although discontented with the development at first, maya's natural curiosity soon drives her to explore the new surroundings. before long she has made a handful of new friends, among which are the forgetful girl at the lakeside, lilia, and the eccentric alchemist, kinoko. strange things start happening at nighttime, yet maya's dreams feel more realistic than ever. who are those tattooed girls that keep appearing before her time after time? nami seems to know something, but it is as challenging as ever to learn the truth from her. features 46000+ word story with multiple branching plotlines! 30+ player choices and 10 different endings! unlockable cg gallery and list of endings! background lore library and scrollable map (in-game smartphone)! all characters are female! steam achievements! 'have you had any strange dreams recently?'
987840	expeditions: rome	the future of rome is in your hands: what will your legacy be? take on the role of a young legatus whose father was murdered by an unknown political opponent, forcing you to escape rome and take refuge in the military campaign to subdue a greek rebellion. step by step, you increase your military prowess, strengthen yourself in the forge of combat, and become the legatus everyone learns to both respect, and to fear. in expeditions: rome, you exert the will of rome through your actions across the world stage, from the bright blue coasts of greece to the deep forests of gaul. decide how people will view you, and rome. will you strike with an iron fist, or speak with a silver tongue? will you embrace the political heritage of the republic, or carve your own path as you navigate the complex politics of the roman senate? every choice matters as you decide the fate of your legion, your close companions, and of rome itself. create your own roman legatus! customize your character’s look, gender, class, and skills to match your playstyle and role-playing fantasy engage in tactical turn-based combat powered by an extensive skill-based action system where every weapon changes your potency on the battlefield adventure with 5 unique companions discovering their extensive backstories and unique personalities explore a beautifully realized, colorful world across many different environments, including north africa, greece, gaul, and rome herself experience a historically inspired story of political intrigue and personal drama through a fully voiced narrative where choices matter and consequences are far-reaching level-up each character and select from a variety of skills and passive abilities to explore a wide range of tactical options loot, craft, and equip a variety of weapons, armors, and tactical items to customize your game even further, providing a tremendous range of tactical options for each character lead your legion on 3 extensive war campaigns across greece, north africa, and gaul. recruit legionaries, improve your warcamp, conquer regions, exploit resources, and defend your territories as you lead your legion to victory
1761030	jackpot bennaction - b05 : discover the mystery combination	discover the value of cards (without repetition), turned face down on the table after the draw, within 6 attempts maximum per match, with the help of the value of cards played to previous attempts and these clues... ∧ the sign higher than indicates that he value of the card must be increased compared to previous attempt ∨ the sign lower than indicates that the value of the card must be decreased compared to previous attempt and win at the end of the match... ⇒ a prize for the attempt with the best discovery, in addition to, ⇒ a prize for the complete discovery, in addition to, ⇒ a progressive jackpot for the complete discovery to successive matches. casino games do not offer 100% chance of winning, however it is possible to frequently get a prize, with bennaction it is also possible to get the jackpot following a winning streak.
1161880	vaporum: lockdown	about vaporum: lockdown is a prequel to the award-winning steampunk dungeon crawler vaporum. it is a grid-based, single-player, single-character game, seen from a first-person perspective in an original steampunk setting, and inspired by old-school games like dungeon master i and ii, the eye of the beholder series, and the more recent legend of grimrock i and ii. vaporum: lockdown follows the story of ellie teller, a scientist who is a part of a mysterious research project in the middle of an ocean. following disastrous events, she struggles to survive and escape the tower of arx vaporum. key features first person real-time combat unique stop time mode puzzles and level-wide objectives gadget-based rpg system lots of exploration, loot, and character customization mysterious storyline filled with secrets fully voiced main characters immersive steampunk setting you will encounter nasty enemies with unique strengths and attack patterns. to beat them, you will have to employ a broad array of weapons, gadgets, upgrades, and smart tactics. fortunately, there's plenty of powerful toys to play with. many different weapon types, each with a specific use, synergistic armor pieces, gadgets that allow you to raise your own army of underlings or to manipulate the battlefield, boosters, and more. prepare to solve many kinds of puzzles and hazards, using various interactive elements, which will test both your wits and reflexes. the overall storyline will have you piecing together a solution to the main obstacle, where the individual pieces are spread over several levels. you will learn a lot about the world and its inhabitants through voiced dialogs, phonodiaries, and written notes.
1279480	thomas scott	a cinematic space shooter - wishlist now! about the game the game takes place in the world of 'sweetland'. the hero of the game needs to find answers and solve many puzzles. traveling through a fascinating world and collecting stars for the opportunity to go to the next level! features rotation of the entire level riddles, secrets and adventures original bright world of the game various puzzles with switches and levers doors, keys, and physics
363860	mythforce	inspired by beloved saturday morning cartoons, mythforce unites swords &amp; sorcery with gripping 1st-person combat in a new roguelike adventure. brave the dungeon alone or join forces with friends to take on an ever-changing castle of evil! become a cartoon hero in a saturday morning cartoon fantasy world. scratch that nostalgic itch with wholesome fun that's easy to pick up and play (but tough to master). in true roguelike fashion, each time you’re defeated, you’ll have to start over at the beginning — but every playthrough makes you a little stronger. level up as you explore the dungeon, uncovering magical artifacts and upgrades to make you say “i have the power!” wield legendary weapons and powerful magic to smite hordes of enemies in an immersive fantasy dungeon-crawl through a colorful cartoon castle. fresh adventures await with each new attempt to storm the keep! explore a replayable dungeon with treasure, traps, and terrors lurking around every corner. brave the dungeon alone or join forces in co-op mode for up to 4 players. choose your team wisely — each hero brings unique skills to the fight! meet the heroes of mythforce : victoria the valiant knight joins forces with rico the charming rogue, maggie the wise mage, and hawkins the deadly hunter. together, they form the legendary team known as… mythforce! these courageous champions are all that stand between eldryth and the tyranny of the vampire lord, deadalus. will our heroes prevail against the many malevolent minions, tricks, and traps in his ever-changing dungeon?
932290	mochi mochi boy	solve puzzles and collect slimes! ​mochi mochi boy is a puzzle game where you fill all the tiles in a stage to progress. stretch , twist and warp your way through ​a series of puzzling stages while collecting a cast of cute slimes along the way. ​mochi mochi boy has 6 different modes: classic : play through a set of stages with no special features added. dungeon : if your timer drops too low ,monsters become dangerous to touch! traps : avoid spike traps whilst trying to avoid setting off bombs! random : all stages are randomly generated sprint ( a and b ) : work your way through a gauntlet of all 150 stages! 100 slimes to collect ​whether it's through treasure chests , or post stage rewards, you'll be rewarded with a vivid cast of slimes . if you're not feeling like solving puzzles, you can visit them in all their gooey glory in the gallery.
2569430	sex goddess punishment	this is horizontal-scrolling shoot 'em up. the player may unlocked 4 more characters and may choose from five playable. holding down the standard shot button can provide a more powerful shot. cg animations can be unlocked when the mission is completed or the girl's favorability is full.
2874660	exit: left or right	you've entered liminal space. it's a strange, empty world outside of our reality. sometimes, some people end up here, and you are one of them. now, you need to find a way out. there will always be two different paths in front of you, left or right. one of the paths will lead you to the exit, and the other will lead you to death. you have to scrutinize your surroundings to choose the right path. gameplay exit left or right is a short walking simulator inspired by liminal spaces. there is no fast-paced action or pathos story in this game. all you need is just to choose the right way to go. you need to scrutinize your surroundings, because you can always notice something strange in front of the wrong door... keep an eye on your surroundings, don't overlook any oddities. if you find anomalies, turn back immediately. if you don't find any anomalies, go forward. your goal is to get to the exit.
3159120	hidden realm of the enchantress	explore the dungeon filled with lusty monster girls! hidden realm of the enchantress is a turn-based strategic dungeon crawler rpg with deckbuilding elements where you battle and conquer a variety of fierce and alluring monster girls! uncover the mysteries lurking within the dungeons and discover the cause of the strange incidents! features over 20 animated monster girl enemies, each with their own abilities and characteristics to challenge your tactics challenging bosses who will push your skills to the limit fully animated sex scenes for these monster girls! (and several additional scenes) turn-based combat that tests your strategic skills randomized for replayability various actions/consumables that expand your strategies gallery mode to enjoy all the animations you've unlocked prove your skill and conquer the hidden realm of the enchantress!
1381450	dreadful shadows	dreadful shadows is a 3rd person team survival horror brawler. teams (8 hunters vs 2 creatures) must battle against the clock to either save or destroy the given village respectively . set in an alternative timeline of our victorian era, hunters will have magic, guns, traps, stakes, weapons and all sorts of gimmicks to 'hunt' the creatures of the dark, all while trying to stay alive, keep allies alive and read spells of protection for the village. after 5 spells have been read on the map the player must escape before the blood moon cleanses the map. alternately if you find yourself as a creature of darkness, you'll get to attack the hunters with a variety of custom attacks, spells, grabs, stealth take downs and death animations. as a creature you'll have a set time to attack the hunter players the best you can until the blood moon is activated, in which one of the creatures will be spawned into the dreaded skin walker/ wendigo/ shape shifter... it has many names, and will leave you broken in a fight. capable of throwing bones, breaking you in two, charging you with its horns, or knocking you 20+ feet with one blow in combat. no hunter is a real match for this abomination.
